Month,Day,Hour,PV_component,Demand
1.0,1.0,0.0,2.5,13.15625
1.0,1.0,0.0,2.5,13.2275
1.0,1.0,0.0,2.5,9.97875
1.0,1.0,0.0,2.5,9.3925
1.0,1.0,1.0,0.0,12.7425
1.0,1.0,1.0,0.0,13.0525
1.0,1.0,1.0,0.0,8.99
1.0,1.0,1.0,0.0,7.9
1.0,1.0,2.0,0.0,10.7275
1.0,1.0,2.0,0.0,10.47
1.0,1.0,2.0,0.0,7.8025
1.0,1.0,2.0,0.0,8.0925
1.0,1.0,3.0,0.0,10.55625
1.0,1.0,3.0,0.0,10.11875
1.0,1.0,3.0,0.0,7.845
1.0,1.0,3.0,0.0,8.09875
1.0,1.0,4.0,0.0,10.49875
1.0,1.0,4.0,0.0,10.43
1.0,1.0,4.0,0.0,8.8075
1.0,1.0,4.0,0.0,11.25125
1.0,1.0,5.0,0.0,15.19875
1.0,1.0,5.0,0.0,15.1775
1.0,1.0,5.0,0.0,10.9225
1.0,1.0,5.0,0.0,11.9025
1.0,1.0,6.0,0.0,17.7275
1.0,1.0,6.0,0.0,20.10875
1.0,1.0,6.0,0.0,44.6275
1.0,1.0,6.0,0.0,118.415
1.0,1.0,7.0,204.6715,170.59625
1.0,1.0,7.0,204.6715,174.72375
1.0,1.0,7.0,204.6715,151.0925
1.0,1.0,7.0,204.6715,196.7975
1.0,1.0,8.0,636.673,256.59875
1.0,1.0,8.0,636.673,235.63375
1.0,1.0,8.0,636.673,164.25875
1.0,1.0,8.0,636.673,163.62375
1.0,1.0,9.0,1016.3739999999999,230.23625
1.0,1.0,9.0,1016.3739999999999,237.29375
1.0,1.0,9.0,1016.3739999999999,180.09125
1.0,1.0,9.0,1016.3739999999999,178.94875
1.0,1.0,10.0,1271.0810000000001,237.43
1.0,1.0,10.0,1271.0810000000001,237.2875
1.0,1.0,10.0,1271.0810000000001,183.5325
1.0,1.0,10.0,1271.0810000000001,183.9725
1.0,1.0,11.0,1394.2685,233.86875
1.0,1.0,11.0,1394.2685,226.96
1.0,1.0,11.0,1394.2685,161.195
1.0,1.0,11.0,1394.2685,162.36625
1.0,1.0,12.0,1406.7735,226.13125
1.0,1.0,12.0,1406.7735,223.9725
1.0,1.0,12.0,1406.7735,158.50125
1.0,1.0,12.0,1406.7735,158.11625
1.0,1.0,13.0,1346.355,222.2325
1.0,1.0,13.0,1346.355,222.5475
1.0,1.0,13.0,1346.355,158.81125
1.0,1.0,13.0,1346.355,158.53
1.0,1.0,14.0,1200.545,222.52
1.0,1.0,14.0,1200.545,223.09875
1.0,1.0,14.0,1200.545,159.84375
1.0,1.0,14.0,1200.545,159.1825
1.0,1.0,15.0,965.5505,223.3225
1.0,1.0,15.0,965.5505,226.05875
1.0,1.0,15.0,965.5505,163.20125
1.0,1.0,15.0,965.5505,159.5675
1.0,1.0,16.0,639.3955,222.08
1.0,1.0,16.0,639.3955,221.285
1.0,1.0,16.0,639.3955,129.7575
1.0,1.0,16.0,639.3955,106.29375
1.0,1.0,17.0,288.973,171.90125
1.0,1.0,17.0,288.973,172.15125
1.0,1.0,17.0,288.973,108.26
1.0,1.0,17.0,288.973,108.84875
1.0,1.0,18.0,61.7245,171.05125
1.0,1.0,18.0,61.7245,122.30125
1.0,1.0,18.0,61.7245,41.6525
1.0,1.0,18.0,61.7245,16.74625
1.0,1.0,19.0,0.0,26.37
1.0,1.0,19.0,0.0,25.61875
1.0,1.0,19.0,0.0,17.3475
1.0,1.0,19.0,0.0,15.59125
1.0,1.0,20.0,0.0,20.86375
1.0,1.0,20.0,0.0,21.21125
1.0,1.0,20.0,0.0,13.1275
1.0,1.0,20.0,0.0,12.15625
1.0,1.0,21.0,0.0,20.2375
1.0,1.0,21.0,0.0,21.24375
1.0,1.0,21.0,0.0,13.16375
1.0,1.0,21.0,0.0,12.5675
1.0,1.0,22.0,0.0,16.2425
1.0,1.0,22.0,0.0,13.10125
1.0,1.0,22.0,0.0,8.61
1.0,1.0,22.0,0.0,8.07875
1.0,1.0,23.0,0.0,12.9225
1.0,1.0,23.0,0.0,12.94
1.0,1.0,23.0,0.0,8.1675
1.0,1.0,23.0,0.0,7.67375
1.0,2.0,0.0,0.0,11.72375
1.0,2.0,0.0,0.0,10.8975
1.0,2.0,0.0,0.0,6.9175
1.0,2.0,0.0,0.0,7.0
1.0,2.0,1.0,0.0,10.75375
1.0,2.0,1.0,0.0,10.65
1.0,2.0,1.0,0.0,7.48375
1.0,2.0,1.0,0.0,7.795
1.0,2.0,2.0,0.0,10.835
1.0,2.0,2.0,0.0,10.4225
1.0,2.0,2.0,0.0,6.21625
1.0,2.0,2.0,0.0,6.46
1.0,2.0,3.0,0.0,10.59125
1.0,2.0,3.0,0.0,10.50875
1.0,2.0,3.0,0.0,6.505
1.0,2.0,3.0,0.0,6.61125
1.0,2.0,4.0,0.0,10.62625
1.0,2.0,4.0,0.0,10.40625
1.0,2.0,4.0,0.0,7.00875
1.0,2.0,4.0,0.0,9.34875
1.0,2.0,5.0,0.0,16.26
